
Mildred		368		392		6.52%
Miles		829		872		5.19%
Milford		728		747		2.61%
Miller's Cove		149		160		7.38%
Millican		240		243		1.25%
Millsap		403		461		14.39%
Mineola		4515		4766		5.56%
Mineral Wells		16788		15213		-9.38%
Mingus		235		257		9.36%
Mission		77058		84331		9.44%
Missouri City		67358		75457		12.02%
Mobeetie		101		95		-5.94%
Mobile City		188		210		11.70%
Monahans		6953		7816		12.41%
Mont Belvieu		3835		6574		71.42%
Montgomery		621		1360		119.00%
Moody		1371		1420		3.57%
Moore Station		201		220		9.45%
Moran		270		260		-3.70%
Morgan		490		519		5.92%
Morgan's Point		339		342		0.88%
Morgan's Point Resort		4170		4685		12.35%
Morton		2006		1813		-9.62%
Moulton		886		899		1.47%
Mountain City		648		810		25.00%
Mount Calm		320		339		5.94%
Mount Enterprise		447		436		-2.46%
Mount Pleasant		15564		15978		2.66%
Mount Vernon		2662		2738		2.85%
Muenster		1544		1645		6.54%
Muleshoe		5158		5019		-2.69%
Mullin		179		176		-1.68%
Munday		1300		1275		-1.92%
Murchison		594		599		0.84%
Murphy		17708		20500		15.77%
Mustang		21		21		0.00%
Mustang Ridge		861		981		13.94%
Nacogdoches		32996		32877		-0.36%
Naples		1378		1313		-4.72%
Nash		2960		3827		29.29%
Nassau Bay		4002		3972		-0.75%
Natalia		1431		1590		11.11%
Navarro		210		220		4.76%
Navasota		7049		7998		13.46%
Nazareth		311		291		-6.43%
Nederland		17547		17371		-1.00%
Needville		2823		3103		9.92%
Nevada		822		1257		52.92%
Newark		1005		1232		22.59%
New Berlin		511		624		22.11%
New Boston		4550		4609		1.30%
New Braunfels		57740		90209		56.23%
Newcastle		585		573		-2.05%
New Chapel Hill		594		646		8.75%
New Deal		794		827		4.16%
New Fairview		1258		1544		22.73%
New Home		334		363		8.68%
New Hope		614		628		2.28%
New London		998		1014		1.60%
New Summerfield		1111		1170		5.31%
Newton		2478		2370		-4.36%
New Waverly		1032		1071		3.78%
Neylandville		97		97		0.00%
Niederwald		565		599		6.02%
Nixon		2385		2542		6.58%
Nocona		3033		3002		-1.02%
Nolanville		4259		5879		38.04%
Nome		588		595		1.19%
Noonday		777		722		-7.08%
Nordheim		307		303		-1.30%
Normangee		685		706		3.07%
North Cleveland		247		298		20.65%
Northlake		1724		3348		94.20%
North Richland Hills		63343		70670		11.57%
Novice		139		128		-7.91%
Oak Grove		603		669		10.95%
Oak Leaf		1298		1484		14.33%
Oak Point		2786		5762		106.82%
Oak Ridge		141		242		71.63%
Oak Ridge		495		742		49.90%
Oak Ridge North		3049		3161		3.67%
Oak Valley		368		421		14.40%
Oakwood		510		515		0.98%
O'Brien		106		102		-3.77%
Odem		2389		2360		-1.21%
Odessa		99940		123334		23.41%
O'Donnell		831		837		0.72%
Oglesby		484		465		-3.93%
Old River-Winfree		1245		1467		17.83%
Olmos Park		2237		2466		10.24%
Olney		3285		3099		-5.66%
Olton		2215		2060		-7.00%
Omaha		1021		980		-4.02%
Onalaska		1764		2967		68.20%
Opdyke West		174		194		11.49%
Orange		18595		18118		-2.57%
Orange Grove		1318		1302		-1.21%
Orchard		352		407		15.63%
Ore City		1144		1228		7.34%
Overton		2554		2503		-2.00%
Ovilla		3492		4167		19.33%
Oyster Creek		1111		1193		7.38%
Paducah		1186		1094		-7.76%
Paint Rock		273		296		8.42%
Palacios		4718		4535		-3.88%
Palestine		18712		17730		-5.25%
Palisades		325		353		8.62%
Palmer		2000		2123		6.15%
Palmhurst		2607		2732		4.79%
Palm Valley		1304		1240		-4.91%
Palmview		5460		5774		5.75%
Pampa		17994		17068		-5.15%
Panhandle		2452		2312		-5.71%
Panorama Village		2170		2424		11.71%
Pantego		2394		2519		5.22%
Paradise		441		561		27.21%
Paris		25171		24847		-1.29%
Parker		3811		5177		35.84%
Pasadena		149043		151227		1.47%
Pattison		472		620		31.36%
Patton Village		1557		2157		38.54%
Payne Springs		767		769		0.26%
Pearland		91252		122460		34.20%
